date,subject,age,sex,trial_num,block_num,block,video_path,audio_path,condition,category,duration,eye_fit,mouth_fit,genuineness,response
18:30.0,17,22,m,1,2,mouth,./stimuli/mouth/31_7.mov,./stimuli/audio/31/7_audio.wav,TRUE,hit,10,0.428067849,0.281945098,1,10
18:30.0,17,22,m,2,2,mouth,./stimuli/mouth/28_26_5_27_6.mov,./stimuli/audio/28/26_5_27_6_audio.wav,fake,fa,7,-0.123887208,0.143651292,0.75,6
18:30.0,17,22,m,3,2,mouth,./stimuli/mouth/60_4_6.mov,./stimuli/audio/60/4_6_audio.wav,fake,cr,9,0.25397019,-0.404008353,0.333333333,8
18:30.0,17,22,m,4,2,mouth,./stimuli/mouth/2_1.mov,./stimuli/audio/2/1_audio.wav,TRUE,miss,11,-0.123526797,0.196212482,0.333333333,1
18:30.0,17,22,m,5,2,mouth,./stimuli/mouth/2_2_3.mov,./stimuli/audio/2/2_3_audio.wav,fake,fa,8,-0.050235536,0.129174971,0.571428571,8
18:30.0,17,22,m,6,2,mouth,./stimuli/mouth/57_3.mov,./stimuli/audio/57/3_audio.wav,TRUE,hit,13,0.223000433,0.405106389,0.833333333,10
18:30.0,17,22,m,7,2,mouth,./stimuli/mouth/19_17_2_25_2.mov,./stimuli/audio/19/17_2_25_2_audio.wav,fake,cr,10,0.301823167,-0.306258102,0.25,6
18:30.0,17,22,m,8,2,mouth,./stimuli/mouth/45_3.mov,./stimuli/audio/45/3_audio.wav,TRUE,miss,7,0.038899222,0.168890043,0.125,6
18:30.0,17,22,m,9,2,mouth,./stimuli/mouth/31_29_3_32_4.mov,./stimuli/audio/31/29_3_32_4_audio.wav,fake,fa,11,-0.018974101,0.099590679,0.571428571,10
18:30.0,17,22,m,10,2,mouth,./stimuli/mouth/55_4_7.mov,./stimuli/audio/55/4_7_audio.wav,fake,fa,12,-0.176601868,0.075848428,0.625,10
18:30.0,17,22,m,11,2,mouth,./stimuli/mouth/4_7.mov,./stimuli/audio/4/7_audio.wav,TRUE,hit,19,0.183687862,0.238483396,0.8,10
18:30.0,17,22,m,12,2,mouth,./stimuli/mouth/58_1_2.mov,./stimuli/audio/58/1_2_audio.wav,fake,fa,14,0.02021081,0.104356403,0.6,10
18:30.0,17,22,m,13,2,mouth,./stimuli/mouth/31_5_9.mov,./stimuli/audio/31/5_9_audio.wav,fake,cr,8,0.306489189,-0.319471397,0.25,1
18:30.0,17,22,m,14,2,mouth,./stimuli/mouth/57_1.mov,./stimuli/audio/57/1_audio.wav,TRUE,hit,11,0.188490688,0.190159482,1,7
